Name,Rating,Price,Availability
Rip it Up and Start Again,Five,£35.02,In stock
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,In stock
How Music Works,Two,£37.32,In stock
Love Is a Mix Tape (Music #1),One,£18.03,In stock
Please Kill Me: The Uncensored Oral History of Punk,Four,£31.19,In stock
Kill 'Em and Leave: Searching for James Brown and the American Soul,Five,£45.05,In stock
"Chronicles, Vol. 1",Two,£52.60,In stock
This Is Your Brain on Music: The Science of a Human Obsession,One,£38.40,In stock
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",Three,£12.36,In stock
No One Here Gets Out Alive,Five,£20.02,In stock
Life,Five,£31.58,In stock
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Two,£55.66,In stock
Forever Rockers (The Rocker #12),Three,£28.80,In stock
